ID,Date,Project,gps_E,gps_N,Method,bm_gm2
E46.3,2017-07-01,BIRD,484723.0,4812715.0,vor,203.17183532079576
E46.3,2018-07-11,BIRD,484723.0,4812715.0,vor,212.63967824093103
E46.3,2019-07-30,BIRD,484723.0,4812715.0,vor,365.3821025518414
E46.4,2015-08-09,BIRD,484940.0,4812591.0,vor,101.12699422028953
E46.4,2017-07-01,BIRD,484940.0,4812591.0,vor,42.65591457663735
E46.4,2018-07-11,BIRD,484940.0,4812591.0,vor,94.91664431153434
E46.4,2019-07-24,BIRD,484940.0,4812591.0,vor,127.63038321276912
E46.5,2015-08-09,BIRD,485157.0,4812468.0,vor,31.3757604416679
E46.5,2016-06-29,BIRD,485157.0,4812468.0,vor,12.557682172111031
E46.5,2017-07-01,BIRD,485157.0,4812468.0,vor,35.98562392674791
E46.5,2017-08-08,PDOG,485170.47,4812472.51,clip,57.73
E46.5,2018-06-19,BIRD,485157.0,4812468.0,vor,105.37634787749202
E46.5,2018-07-12,PDOG,485176.0,4812467.0,clip,121.565
E46.5,2019-07-17,PDOG,485176.9,4812457.6,clip,165.878
E46.5,2019-07-24,BIRD,485157.0,4812468.0,vor,144.04244138386719
E46.5,2021-07-19,PDOG,485171.0,4812453.0,clip,42.281
E46.5,2022-07-19,PDOG,485170.78,4812463.16,clip,86.83500000000001
E46.5,2023-04-30,PDOG,485166.0,4812459.0,vor,44.88720283569138
E46.5,2023-07-27,PDOG,485172.27,4812466.48,vor,111.55163968960552
E46.5,2024-07-29,PDOG,485177.0,4812470.0,vor,50.63555021876157
E46.6,2015-08-09,BIRD,485375.0,4812344.0,vor,31.12350584850855
E46.6,2016-06-29,BIRD,485375.0,4812344.0,vor,14.638231598650657
E46.6,2017-07-01,BIRD,485375.0,4812344.0,vor,36.177067928613845
E46.6,2018-06-19,BIRD,485375.0,4812344.0,vor,115.2697056775651
E46.6,2019-07-24,BIRD,485375.0,4812344.0,vor,111.73389049895982
E46.7,2015-08-09,BIRD,485592.0,4812221.0,vor,14.979197927205078
E46.7,2016-06-29,BIRD,485592.0,4812221.0,vor,13.407396004028136
E46.7,2017-07-01,BIRD,485592.0,4812221.0,vor,52.14282845276617
E46.7,2017-08-08,PDOG,485602.82,4812223.0,clip,69.87
E46.7,2018-06-19,BIRD,485592.0,4812221.0,vor,53.05094043050906
E46.7,2018-07-12,PDOG,485610.0,4812216.0,clip,94.407
E46.7,2019-07-17,PDOG,485625.3,4812235.6,clip,78.08599999999998
E46.7,2019-07-24,BIRD,485592.0,4812221.0,vor,32.36522521425085
E46.7,2021-07-19,PDOG,485618.0,4812235.0,clip,53.607
E46.7,2022-07-19,PDOG,485614.54,4812242.92,clip,58.691
E46.7,2023-04-30,PDOG,485604.0,4812233.0,vor,21.033688082397717
